channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
31,N24,TV,ProSiebenSat.1,SD,0x445F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0453,0x01,Sat,12544,H,22000,auto,DVB-S,FTA
32,n-tv,TV,RTL World,SD,0x2F3A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0441,0x01,Sat,12187,H,27500,auto,DVB-S,FTA
33,DMAX,TV,,SD,0x003F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
34,Welt der Wunder,TV,,SD,0x332F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
35,Eurosport Deutschland,TV,,SD,0x79E0,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
36,SPORT1,TV,,SD,0x0384,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA
37,RIC,TV,,SD,0x32DB,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA
38,KIKA HD,TV,,HD,0x2B98,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA
39,3sat HD,TV,,HD,0x2B8E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA
40,arte HD,TV,,HD,0x283E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11493,H,22000,auto,DVB-S2,FTA
41,PHOENIX HD,TV,,HD,0x285B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
42,BR-alpha,TV,ARD,SD,0x6F47,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA
43,EinsFestival HD,TV,ARD,HD,0x2888,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x040F,0x01,Sat,11053,H,22000,auto,DVB-S2,FTA
44,tagesschau24HD,TV,,HD,0x2887,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x040F,0x01,Sat,11052,H,22000,auto,DVB-S2,FTA
