channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type,
73,FASHION TV,TV,,SD,0x772F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0416,0x01,Sat,11156,V,22000,auto,DVB-S,FTA,
74,rbb Brandenburg HD,TV,,HD,0x286E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA,
75,hr-fernsehen HD,TV,,HD,0x2873,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA,
76,NDR FS HH HD,TV,,HD,0x2859,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA,
77,WDR Köln HD,TV,,HD,0x6EA5,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x04B1,0x01,Sat,12421,H,27500,auto,DVB-S,FTA,
78,MDR Sachsen HD,TV,,HD,0x2870,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA,
79,SWR BW HD,TV,,HD,0x283F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA,
80,SR Fernsehen,TV,,SD,0x6F46,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
81,EBRU TV,TV,,SD,0x004C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0021,0x85,Sat,12480,V,27500,auto,DVB-S,FTA,
82,PULS 4 HD Austria,TV,,HD,0x14B7,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,IR,
83,ProSieben HD Austria,TV,,HD,0x14B5,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,IR,
84,SAT.1 HD Austria,TV,,HD,0x14B4,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,IR,
85,kabel eins HD Austria,TV,,HD,0x14B6,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,IR,
86,RTL HD Austria,TV,,HD,0x2E87,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0411,0x01,Sat,11082,H,22000,auto,DVB-S2,IR,
87,VOX HD Austria,TV,,HD,0x2E91,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0411,0x01,Sat,11082,H,22000,auto,DVB-S2,IR,
88,RTL II HD Austria,TV,,HD,0x2EA5,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0411,0x01,Sat,11082,H,22000,auto,DVB-S2,IR,
89,Deluxe Music HD Austria,TV,,HD,0x1589,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x157C,0x01,Sat,10803,H,22000,auto,DVB-S2,IR,
90,TELE 5 HD Austria,TV,,HD,0x1519,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,NA,
91,NICKELODEON HD AT,TV,,HD,0x527D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,IR,
92,DMAX HD Austria,TV,,HD,0x152E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,IR,
93,N24 HD Austria,TV,,HD,0x5274,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,NA,
94,n-tv HD,TV,,HD,0xEF14,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0421,0x01,Sat,10832,H,22000,auto,DVB-S2,NA,
95,Bibel TV HD,TV,,HD,0x33A8,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA,
96,QVC HD,TV,,HD,0x526F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA,
97,QVC PLUS HD,TV,,HD,0x1580,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,FTA,
98,HSE24 HD,TV,,HD,0x5270,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA,
99,1-2-3.tv HD,TV,,HD,0x157E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x041F,0x01,Sat,10802,H,22000,auto,DVB-S2,FTA,
1,OE1 DD,RADIO,,SD,0x3342,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
2,OE1,RADIO,,SD,0x3341,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
3,OE2 W,RADIO,,SD,0x3343,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
4,OE2 N,RADIO,,SD,0x3344,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
5,OE2 B,RADIO,,SD,0x3345,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
6,OE2 O,RADIO,,SD,0x3346,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
7,OE2 S,RADIO,,SD,0x3347,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
8,OE2 T,RADIO,,SD,0x3348,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
9,OE2 V,RADIO,,SD,0x3349,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
10,OE2 St,RADIO,,SD,0x334A,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
11,OE2 K,RADIO,,SD,0x334B,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
12,OE3,RADIO,,SD,0x334D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
13,FM4,RADIO,,SD,0x334E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
14,U1 Tirol,RADIO,,SD,0x3350,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
15,RADIO MARIA,RADIO,,SD,0x3354,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA,
16,DLF,RADIO,,SD,0x6D6D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0437,0x01,Sat,11953,H,27500,auto,DVB-S,FTA,
17,DKULTUR,RADIO,,SD,0x6D6C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0437,0x01,Sat,11953,H,27500,auto,DVB-S,FTA,
18,DRadio Wissen,RADIO,,SD,0x6D71,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0437,0x01,Sat,11953,H,27500,auto,DVB-S,FTA,
19,ANTENNE BAYERN,RADIO,,SD,0x00AA,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
20,ROCK ANTENNE,RADIO,,SD,0x00A0,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
21,sunshine live,RADIO,,SD,0x00A9,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
22,ERF Plus,RADIO,,SD,0x00A1,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA,
23,Bayern 1,RADIO,,SD,0x6EF0,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
24,Bayern 2,RADIO,,SD,0x6EF1,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
25,BAYERN 3,RADIO,,SD,0x6EF2,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
26,Antenne Brandenburg,RADIO,,SD,0x6F26,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
